"Dataset Name","Observation Date","Series Key","Series Display Name","Observation Value","Unit","Observation Status","Observation Status Comment","Sequence No.","Series name"
"Advances Classified By Securities/ Borrowers","30-Apr-2022","TS_GP_BAM_ADVBYBOR_M.ABS0005500","............................... Imported",".721478","Billion PKR","Normal","","64","Outstanding Advances Of All Banks Against Imported Synthetic Fibers - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","30-Apr-2022","TS_GP_BAM_ADVBYBOR_M.ABS0005600","......................... Fertilizers","49.270009","Billion PKR","Normal","","65","Outstanding Advances Of All Banks Against Fertilizers - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","30-Apr-2022","TS_GP_BAM_ADVBYBOR_M.ABS0005700","............................... Indigenous","41.85788","Billion PKR","Normal","","66","Outstanding Advances Of All Banks Against Indigenous Fertilizers - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","30-Apr-2022","TS_GP_BAM_ADVBYBOR_M.ABS0005800","............................... Imported","7.412129","Billion PKR","Normal","","67","Outstanding Advances Of All Banks Against Imported Fertilizers - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","30-Apr-2022","TS_GP_BAM_ADVBYBOR_M.ABS0005900","......................... Petroleum Crude","117.674778","Billion PKR","Normal","","68","Outstanding Advances Of All Banks Against Petroleum Crude - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","30-Apr-2022","TS_GP_BAM_ADVBYBOR_M.ABS0006000","............................... Indigenous","96.851607","Billion PKR","Normal","","69","Outstanding Advances Of All Banks Against Indigenous Crude Petroleum - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","30-Apr-2022","TS_GP_BAM_ADVBYBOR_M.ABS0006100","............................... Imported","20.823171","Billion PKR","Normal","","70","Outstanding Advances Of All Banks Against Imported Crude Petroleum - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","30-Apr-2022","TS_GP_BAM_ADVBYBOR_M.ABS0006200","......................... Iron and Steel","123.022104","Billion PKR","Normal","","71","Outstanding Advances Of All Banks Against Iron And Steel - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","30-Apr-2022","TS_GP_BAM_ADVBYBOR_M.ABS0006300","............................... Indigenous","79.661176","Billion PKR","Normal","","72","Outstanding Advances Of All Banks Against Indigenous Iron And Steel - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","30-Apr-2022","TS_GP_BAM_ADVBYBOR_M.ABS0006400","............................... Imported","43.360928","Billion PKR","Normal","","73","Outstanding Advances Of All Banks Against Imported Iron And Steel - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","30-Apr-2022","TS_GP_BAM_ADVBYBOR_M.ABS0006500","......................... Wool and Goat Hair",".014905","Billion PKR","Normal","","74","Outstanding Advances Of All Banks Against Wool And Goat Hair - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","30-Apr-2022","TS_GP_BAM_ADVBYBOR_M.ABS0006600","......................... Hides and Skins","2.874245","Billion PKR","Normal","","75","Outstanding Advances Of All Banks Against Hides And Skins - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","30-Apr-2022","TS_GP_BAM_ADVBYBOR_M.ABS0006700","......................... Oil Seeds","15.750853","Billion PKR","Normal","","76","Outstanding Advances Of All Banks Against Oil Seeds - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","30-Apr-2022","TS_GP_BAM_ADVBYBOR_M.ABS0006800","......................... Pesticides and Insecticides","2.535621","Billion PKR","Normal","","77","Outstanding Advances Of All Banks Against Pesticides And Insecticides - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","30-Apr-2022","TS_GP_BAM_ADVBYBOR_M.ABS0006900","............................... Indigenous","2.535548","Billion PKR","Normal","","78","Outstanding Advances Of All Banks Against Indigenous Pesticides And Insecticides - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","30-Apr-2022","TS_GP_BAM_ADVBYBOR_M.ABS0007000","............................... Imported",".000073","Billion PKR","Normal","","79","Outstanding Advances Of All Banks Against Imported Pesticides And Insecticides - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","30-Apr-2022","TS_GP_BAM_ADVBYBOR_M.ABS0007100","......................... Other Raw Materials","146.755694","Billion PKR","Normal","","80","Outstanding Advances Of All Banks Against Other Raw Materials - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","30-Apr-2022","TS_GP_BAM_ADVBYBOR_M.ABS0007200","............................... Indigenous","128.635142","Billion PKR","Normal","","81","Outstanding Advances Of All Banks Against Other Indigenous Raw Materials - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","30-Apr-2022","TS_GP_BAM_ADVBYBOR_M.ABS0007300","............................... Imported","18.120552","Billion PKR","Normal","","82","Outstanding Advances Of All Banks Against Other Imported Raw Materials - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","30-Apr-2022","TS_GP_BAM_ADVBYBOR_M.ABS0007400","................... Finished / Manufactured Goods","1048.558479","Billion PKR","Normal","","83","Outstanding Advances Of All Banks Against Finished / Manufactured Goods - To Private Sector (Business)"
